kaptCode,kaptName,kaptdPcnt,kaptdPcntu,welfareFacility,educationFacility,convenientFacility,kaptdWtimebus,kaptdWtimesub,subwayStation,subwayLine
A13589802,압구정현대아파트,2350,0,"관리사무소, 노인정, 어린이놀이터",초등학교(압구정초) 중학교(압구정중) 고등학교(압구정고) 대학교(국제예술대학교),"관공서(압구정동주민센터, 압구정파출소, 영동119안전센터) 병원(호산병원) 백화점(현대백화점) 대형상가(하나로마트) 공원(도산공원) 기타(강남구립논현도서관)",5~10분이내,5분이내,압구정,3호선
A13519005,강남데시앙파크,4,846,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",초등학교(대왕초) 고등학교(세종고),관공서(세곡동주민센터) 병원(삼성의료원) 백화점(강남롯데백화점) 대형상가(이마트),5~10분이내,15~20분이내,수서,"3호선, 신분당선"
A13519001,강남신동아파밀리에1단지,0,420,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 유치원, 자전거보관소",초등학교(대왕초),NA,5~10분이내,20분초과,NA,NA
A13519002,강남신동아파밀리에2단지,0,457,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간",초등학교(대왕초),NA,5~10분이내,10~15분이내,NA,"3호선, 분당선"
A13519007,강남엘에이치1단지,0,995,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소","초등학교(세명초,대왕초) 중학교(세곡중학교)",관공서(세곡동주민센터) 병원() 대형상가(이마트) 공원() 기타(헌인릉),5분이내,10~15분이내,수서역,"3호선, 분당선"
A10027558,강남효성해링턴코트,0,398,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",NA,NA,5분이내,15~20분이내,NA,"5호선, 분당선"
A13519003,세곡리엔파크3단지,3,404,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",초등학교(대왕초),공원(),5~10분이내,15~20분이내,NA,"3호선, 분당선"
A13519004,세곡리엔파크4단지,0,439,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",초등학교(대왕초등학교) 중학교(세곡중학교) 고등학교(풍문고등학교),관공서(세곡동주민센터) 병원(강남구립행복요양병원.) 대형상가(이마트) 공원(세곡천어린이공원.세곡해오름공원.) 기타(국민건강보험공단 서울요양원.커뮤니티쎈터(강남구청)),5~10분이내,10~15분이내,"수서, ","3호선, 분당선"
A13519006,세곡푸르지오,4,1144,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소","초등학교(세명초,대왕초) 중학교()",관공서(세곡동주민센터) 병원() 공원() 기타(헌인릉),5~10분이내,NA,NA,"3호선, 분당선"
A13519008,LH강남3단지,207,672,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",초등학교(세명초) 중학교(세곡중) 고등학교(x) 대학교(x),관공서(세곡동주민센터) 병원(삼성서울병원) 백화점(x) 대형상가(이마트) 공원(x) 기타(대모산),5분이내,10~15분이내,NA,"3호선, 분당선"
A10027985,LH강남힐스테이트아파트,0,1590,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",초등학교(세명초등학교) 중학교(세곡중학교) 고등학교(풍문고등학교),"병원(내과, 가정의학과) 기타(대모산 등산로)",5~10분이내,20분초과,"수서역, 복정역","3호선, 8호선, 분당선"
A13520004,강남브리즈힐,0,520,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소","초등학교(세명, 자곡초등학교) 중학교(세곡중학교) 고등학교(세종고등학교)","관공서(세곡동사무소) 병원(삼성의료원, 경찰병원) 백화점(엔시백화점) 대형상가(이마트) 공원(다수)",5분이내,5~10분이내,NA,"3호선, 분당선"
A10028172,강남자곡아이파크,53,824,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",NA,NA,5분이내,10~15분이내,NA,"3호선, 분당선"
A13520002,강남한양수자인,7,1630,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",NA,NA,5~10분이내,NA,NA,"3호선, 8호선"
A13520003,래미안강남힐즈,0,1546,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",초등학교(자곡초등학교) 중학교(세곡중학교) 고등학교(),관공서(세곡주민센터) 병원(삼성의료원) 대형상가(가든파이브),5분이내,5~10분이내,"수서역, 장지역","3호선, 8호선, 분당선"
A13520001,래미안포레,6,1151,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",NA,NA,5~10분이내,NA,NA,3호선
A10027912,강남한신휴플러스 6단지,0,346,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",NA,NA,5분이내,15~20분이내,수서역,3호선
A10027909,강남한신휴플러스 8단지,2,206,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",초등학교(율현초등학교),기타(),5~10분이내,10~15분이내,NA,"3호선, 분당선"
A13594403,개포7차우성,578,119,"관리사무소, 어린이놀이터, 자전거보관소",초등학교(영희초등학교) 중학교(중동중학교) 고등학교(중동고등학교),관공서(일원2동사무소) 병원(삼성서울병원) 공원(늘푸른공원),5분이내,5분이내,대청,3호선
A10023547,개포상록스타힐스,5,1612,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",초등학교() 중학교(),관공서(개포2동주민센터) 병원(삼성병원) 백화점(롯데백화점) 대형상가(이마트) 공원(늘푸른공원),5분이내,5분이내,대모산입구역,분당선
A13594402,개포한신,300,0,"관리사무소, 어린이놀이터, 휴게시설, 자전거보관소","초등학교(영희초등학교, 일원초등학교) 중학교(중동중학교, 대명중학교) 고등학교(중동고등학교)","관공서(수서경찰서, 강남우체국, 개포3동주민센터) 병원(삼성서울병원) 공원(늘푸른공원, 대청공원)",5분이내,5분이내,"대청역, 대모산입구역","3호선, 수인선"
A10024216,디에이치 자이 개포,3113,0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",초등학교() 중학교() 고등학교(),관공서() 병원() 백화점() 대형상가() 공원(),5분이내,5분이내,NA,분당선
A10024258,디에이치포레센트아파트,0,327,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",NA,NA,5~10분이내,5~10분이내,NA,3호선
A10025823,래미안개포루체하임,0,1296,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",초등학교() 중학교() 고등학교(),관공서() 병원() 대형상가(),5분이내,5~10분이내,NA,"3호선, 분당선"
A13594702,상록수아파트,684,0,"관리사무소, 어린이놀이터, 유치원, 자전거보관소",초등학교(대모) 중학교(대왕중) 고등학교(서울로봇),관공서(일원본동사무소) 병원(서울의료원) 공원(진달래공원),5~10분이내,5~10분이내,일원,3호선
A13593802,수서1-1단지아파트,379,124,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원",초등학교(대청초교) 고등학교(중동고교),관공서(일원1동사무소) 병원(삼성의료원) 대형상가(LG하이프라자) 공원(일원까치공원),5~10분이내,10~15분이내,대청,3호선
A13523003,수서가람,340,143,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(대모) 중학교(대왕중) 고등학교(서울로봇),관공서(일원본동사무소) 병원(서울의료원) 공원(진달래공원),5분이내,5분이내,일원,3호선
A13593801,일원동 수서아파트,550,0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터","초등학교(대청초) 중학교(수서, 중동중) 고등학교(중동고) 대학교()","관공서(일원동우체국, 수서119안전센터, 수서경찰서) 병원(서울삼성병원) 백화점() 대형상가(하나로마트) 공원(일원까치공원) 기타(한국지역난방공사)",5~10분이내,10~15분이내,대청,3호선
A13523005,일원목련타운,432,531,"관리사무소, 노인정",초등학교(대모) 중학교(대왕중) 고등학교(서울로봇),관공서(일원본동사무소) 병원(서울의료원) 공원(진달래공원),5분이내,5분이내,일원,3호선
A13523004,일원샘터마을,335,562,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",초등학교(대모) 중학교(대왕중) 고등학교(서울로봇),관공서(일원본동사무소) 병원(삼성병원) 대형상가(롯데마트) 공원(소나무공원),5분이내,5분이내,일원,3호선
A13523001,일원청솔빌리지,167,0,"관리사무소, 노인정, 어린이놀이터",초등학교(대모초등학교) 중학교(대왕중학교) 고등학교(로봇고등학교),병원(삼성의료원) 공원(대모산자연공원),5~10분이내,5~10분이내,NA,3호선
A13594203,푸른마을아파트,385,306,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소","초등학교(왕북초등학교,대모초등학교) 중학교(대왕중학교) 고등학교(중산고등학교,서울로봇고등학교)","관공서(서울시립청소년수련관,일원본동 주민센터) 병원(삼성의료원) 기타(밀알학교)",5분이내,5분이내,NA,3호선
A13594701,한솔마을,333,126,"관리사무소, 노인정, 보육시설, 어린이놀이터",초등학교(대모) 중학교(대왕중) 고등학교(서울로봇),병원(삼성서울의료원) 공원(진달래공원),5~10분이내,5~10분이내,일원,3호선
A10027446,강남더샵포레스트,4,853,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",초등학교(왕북초등학교) 중학교(대왕중학교),"관공서(수서동주민센터, 수서119안전센터) 병원(삼성의료원) 대형상가(이마트수서점)",5~10분이내,5~10분이내,NA,"3호선, 분당선"
A13552002,강남데시앙포레,5,945,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",초등학교(왕북초등학교),관공서(일원본동주민센터) 병원(삼성의료원) 대형상가(이마트),5분이내,10~15분이내,NA,"3호선, 분당선"
A13552001,서울주택도시공사 수서6단지,276,0,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",초등학교(수서초교) 중학교(수서중교) 고등학교(세종고교),관공서(수서동사무소) 병원(삼성의료원) 공원(탄천공원),5분이내,5분이내,수서역,"3호선, 분당선"
A13522007,수서까치마을,350,184,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소","초등학교(대모초교) 중학교(대왕중교) 고등학교(서울로봇고, 세종고)",관공서(일원본동사무소) 병원(삼성의료원) 백화점(신세계백화점) 공원(일원새싹공원),5~10분이내,5~10분이내,일원,3호선
A13588601,수서동익,157,157,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",초등학교() 중학교() 고등학교(),관공서() 병원() 대형상가() 공원() 기타(),5분이내,5~10분이내,수서역,"3호선, 분당선"
A13522004,수서삼성,168,596,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소","초등학교(대모초교, 서울 왕북초교) 중학교(대왕중교) 고등학교(서울로봇고, 세종고)",관공서(일원본동사무소) 병원(삼성의료원) 공원(일원새싹공원),5분이내,5~10분이내,일원 및 수서,"3호선, 분당선"
A13522003,수서삼익,650,350,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(수서초교) 중학교(수서중교) 고등학교(세종고교),관공서(수서동사무소) 병원(삼성의료원) 백화점(신세계백화점),5~10분이내,5~10분이내,수서,"3호선, 분당선"
A13522006,수서신동아,209,116,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소",초등학교(수서초교) 중학교(수서중교) 고등학교(세종고교),병원(삼성의료원) 백화점(신세계백화점),5분이내,5분이내,수서,"3호선, 분당선"
A13522008,수서주공,580,0,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",초등학교(수서초교) 중학교(수서중교) 고등학교(세종고교),병원(삼성의료원) 백화점(롯데백화점),5분이내,5분이내,수서역,3호선
A13588402,수서한아름,317,425,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터",초등학교(수서초교) 중학교(수서중교) 고등학교(세종고교),관공서(수서동주민센터) 병원(삼성의료원) 백화점(신세계백화점) 대형상가(현대벤처빌) 공원(탄천근린공원),5~10분이내,5~10분이내,수서,"3호선, 분당선"
A13527013,개포4차우성,599,0,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",중학교(대치중학교) 고등학교(숙명여고),관공서(도곡2동사무소) 병원(영동세브란스병원) 대형상가(타워팰리스) 공원(도곡근린공원),5분이내,5~10분이내,매봉,3호선
