"kaptCode","kaptName","kaptAddr","kaptDongCnt","kaptdaCnt","codeAptNm","doroJuso","hoCnt","kaptUsedate","kaptMparea_60","kaptMparea_85","kaptMparea_135","kaptMparea_136","bjdCode","kaptdPcnt","kaptdPcntu","subwayLine","num_Hospital","isPark","num_Elm_sch","num_Mid_sch","num_Hi_sch","Subway_new5~10분이내","Subway_new10~15분이내","Subway_new15분초과","Bus_new5~10분이내","Bus_new10분초과","codeHallNm계단식","codeHallNm복도식","codeHallNm타워형","codeHallNm혼합식","kaptBcompanyGS건설(주)","kaptBcompanySK에코플랜트(주)","kaptBcompany경남기업","kaptBcompany그외시공사","kaptBcompany대림산업(주)","kaptBcompany대우건설(주)","kaptBcompany동부건설","kaptBcompany라이프주택","kaptBcompany롯데건설(주)","kaptBcompany삼성","kaptBcompany삼성물산(주)","kaptBcompany삼성중공업","kaptBcompany삼익건설","kaptBcompany신동아","kaptBcompany신동아건설","kaptBcompany쌍용건설(주)","kaptBcompany우성건설(주)","kaptBcompany주택공사","kaptBcompany진흥기업(주)","kaptBcompany컨소시엄시공","kaptBcompany태영건설","kaptBcompany포스코건설(주)","kaptBcompany한신공영(주)","kaptBcompany한양주택(주)","kaptBcompany현대건설(주)","kaptBcompany현대산업개발(주)"
"A10027800","래미안 대치 팰리스","서울특별시 강남구 대치동 633 래미안 대치 팰리스",17,1608,"아파트","서울특별시 강남구 삼성로57길 37-3",1608,20150922,54,447,1011,96,1168010600,0,3119,"3호선, 분당선",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10027909","강남한신휴플러스 8단지","서울특별시 강남구 율현동 217 강남한신휴플러스 8단지",11,169,"아파트","서울특별시 강남구 밤고개로27길 20",169,20150923,108,6,55,0,1168011300,2,206,"3호선, 분당선",1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"A10027912","강남한신휴플러스 6단지","서울특별시 강남구 율현동 336 강남한신휴플러스 6단지",12,378,"아파트","서울특별시 강남구 밤고개로26길 50",378,20150923,326,52,0,0,1168011300,0,346,"3호선",1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"A10027985","LH강남힐스테이트아파트","서울특별시 강남구 자곡동 619 LH강남힐스테이트아파트",5,1339,"아파트","서울특별시 강남구 자곡로3길 21",1339,20150602,789,550,0,0,1168011200,0,1590,"3호선, 8호선, 분당선",2,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A10028172","강남자곡아이파크","서울특별시 강남구 자곡동 602 강남자곡아이파크",10,716,"아파트","서울특별시 강남구 자곡로 175",716,20141002,195,521,0,0,1168011200,53,824,"3호선, 분당선",1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"A13501001","동양파라곤","서울특별시 강남구 논현동 245 동양파라곤",4,203,"아파트","서울특별시 강남구 언주로130길 30",203,20040602,0,0,0,203,1168010800,0,572,"7호선, 분당선",1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13501002","마일스디오빌","서울특별시 강남구 논현동 58-2 마일스디오빌",1,260,"주상복합","서울특별시 강남구 학동로 165",260,20041126,260,0,0,0,1168010800,16,184,"7호선",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13501004","논현신동아","서울특별시 강남구 논현동 22 논현신동아",6,644,"아파트","서울특별시 강남구 강남대로146길 28",644,19970704,273,219,152,0,1168010800,226,458,"3호선, 7호선, 신분당선",1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A13501006","아크로힐스논현","서울특별시 강남구 논현동 276 아크로힐스논현",4,368,"아파트","서울특별시 강남구 언주로 604",368,20141208,34,222,112,0,1168010800,0,645,"9호선, 분당선",1,1,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A13508001","역삼휴먼터치빌","서울특별시 강남구 역삼동 606-18 역삼휴먼터치빌",1,160,"주상복합","서울특별시 강남구 논현로 565",160,19990619,160,0,0,0,1168010100,0,121,"2호선, 9호선",1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
