kaptCode,kaptName,kaptAddr,kaptDongCnt,kaptdaCnt,kaptAcompany,kaptBcompany,codeAptNm,doroJuso,hoCnt,codeHallNm,kaptUsedate,kaptMparea_60,kaptMparea_85,kaptMparea_135,kaptMparea_136,bjdCode
A13510201,청담삼환,서울특별시 강남구 청담동 10 청담삼환,1,184,동일건축,삼환기업(주),아파트,서울특별시 강남구 학동로77길 49,184,혼합식,19991130,56,82,46,0,1168010400
A13510007,청담자이,서울특별시 강남구 청담동 134-38 청담자이,5,708,청담 한양아파트 주택재건축사업조합,GS건설,아파트,서울특별시 강남구 영동대로138길 12,708,계단식,20111021,388,116,204,0,1168010400
A13510102,청담현대3차,서울특별시 강남구 청담동 127-31 청담현대3차,4,317,현대건설(주),현대건설(주),아파트,서울특별시 강남구 도산대로101길 29,317,혼합식,19990619,101,76,140,0,1168010400
A13510002,청담휴먼스타빌,서울특별시 강남구 청담동 5-25 청담휴먼스타빌,1,191,휴먼터치,휴먼터치,주상복합,서울특별시 강남구 도산대로 454,191,계단식,20051021,181,4,0,6,1168010400
A10024131,래미안 라클래시,서울특별시 강남구 삼성동 19-4 래미안 라클래시,7,679,상아아파트2차 주택재건축정비사업조합,삼성물산,아파트,서울특별시 강남구 삼성로 651,679,계단식,20210917,164,372,112,31,1168010500
A10026350,삼성동센트럴아이파크,서울특별시 강남구 삼성동 188 삼성동센트럴아이파크,4,416,상아3차아파트주택재건축정비사업조합,현대산업개발,아파트,서울특별시 강남구 삼성로 629,416,계단식,20180330,115,204,75,22,1168010500
A13550701,삼성동중앙하이츠빌리지,서울특별시 강남구 삼성동 14-1 삼성동중앙하이츠빌리지,5,298,중앙건설,중앙건설,아파트,서울특별시 강남구 학동로68길 30,298,계단식,20041229,60,90,0,148,1168010500
A13570501,삼성동힐스테이트2단지,서울특별시 강남구 삼성동 50 삼성동힐스테이트2단지,12,926,조합,현대건설,아파트,서울특별시 강남구 삼성로111길 8,926,혼합식,20081210,186,740,0,0,1168010500
A13509005,삼성래미안2차,서울특별시 강남구 삼성동 7-3 삼성래미안2차,8,275,삼성,삼성,아파트,서울특별시 강남구 선릉로130길 20,275,계단식,20070525,0,46,196,33,1168010500
A13509007,삼성롯데,서울특별시 강남구 삼성동 17 삼성롯데,3,339,롯데건설,롯데건설,아파트,서울특별시 강남구 학동로 432,339,혼합식,20000415,99,84,156,0,1168010500
A13509010,삼성롯데캐슬프레미어,서울특별시 강남구 삼성동 11 삼성롯데캐슬프레미어,11,713,해청재건축조합,롯데건설,아파트,서울특별시 강남구 선릉로126길 22,713,계단식,20070326,0,158,415,140,1168010500
A13509006,삼성서광,서울특별시 강남구 삼성동 2 삼성서광,2,304,삼성동 지역 주택조합 아파트,(주)서광건설 산업,아파트,서울특별시 강남구 선릉로130길 19,304,계단식,19981106,152,152,0,0,1168010500
A13509101,삼성청구타운,서울특별시 강남구 삼성동 78-4 삼성청구타운,3,167,청구,청구,아파트,서울특별시 강남구 영동대로128길 5,167,계단식,19900818,0,167,0,0,1168010500
A13509003,삼성풍림아파트1차,서울특별시 강남구 삼성동 106 삼성풍림아파트1차,1,252,풍림건설,풍림건설,아파트,서울특별시 강남구 영동대로112길 15,252,혼합식,19980727,123,75,54,0,1168010500
A13509004,삼성한솔,서울특별시 강남구 삼성동 4-6 삼성한솔,2,263,한솔건설,한솔건설,아파트,서울특별시 강남구 학동로64길 7,263,복도식,19981116,114,89,60,0,1168010500
A13509001,삼성현대,서울특별시 강남구 삼성동 6 삼성현대,1,198,동남아재건축조합,현대산업개발,아파트,서울특별시 강남구 학동로64길 14,198,혼합식,19990416,89,60,49,0,1168010500
A13509012,삼성힐스테이트1단지,서울특별시 강남구 삼성동 16-2 삼성힐스테이트1단지,17,1144,영동차관아파트재건축정비사업조합,현대건설(주),아파트,서울특별시 강남구 학동로68길 29,1144,계단식,20081210,230,744,170,0,1168010500
A13587603,선릉에클라트,서울특별시 강남구 삼성동 142-3 선릉에클라트,1,293,(주)규형디앤씨,LG건설,주상복합,서울특별시 강남구 테헤란로63길 12,293,복도식,20040622,293,0,0,0,1168010500
A13509009,아이파크삼성동,서울특별시 강남구 삼성동 87 아이파크삼성동,3,449,현대산업개발,현대산업개발,아파트,서울특별시 강남구 영동대로 640,449,계단식,20040318,0,0,0,449,1168010500
A13528105,개포1차2차우성,서울특별시 강남구 대치동 500 개포1차2차우성,14,1140,우성건설,우성건설,아파트,서울특별시 강남구 선릉로 120,1140,계단식,19831217,0,330,600,210,1168010600
